Datum,Uhrzeit,Ort,Google Maps Link
25.08.2021,16.30h,Gladbeck Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Gladbeck Stadthalle, Friedrichstr. 53, 45964 Gladbeck"
05.09.2021,15.00h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
28.09.2021,15.30h,Witten Saalbau,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Witten Saalbau, Bergerstraße 25, 58452 Witten"
04.10.2021,16.00h,Rheinberg Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Rheinberg Stadthalle, Kirchplatz 10, 47495 Rheinberg"
07.10.2021,10.00h,Wesel Städtisches Bühnenhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wesel Städtisches Bühnenhaus, Ritterstraße 12-14, 46483 Wesel"
07.10.2021,16.00h,Wesel Städtisches Bühnenhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wesel Städtisches Bühnenhaus, Ritterstraße 12-14, 46483 Wesel"
27.10.2021,15.30h,Lüdenscheid Kulturhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Lüdenscheid Kulturhaus, Freiherr-vom-Stein-Str. 9, 58511 Lüdenscheid"
04.11.2021,16.30h,Bottrop Josef-Albers-Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Bottrop Josef-Albers-Gymnasium, Zeppelinstr. 20, 46236 Bottrop"
11.12.2021,15.00h,Recklinghausen Ruhrfestspielhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Recklinghausen Ruhrfestspielhaus, Otto-Burmeister-Allee 1, 45657 Recklinghausen"
13.12.2021,11.00h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
14.12.2021,9.30h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
14.12.2021,11.30h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
15.12.2021,9.30h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
20.12.2021,18.00h,Duisburg Theater - großes Haus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Duisburg Theater - großes Haus, Neckarstraße 1, 47051 Duisburg"
21.12.2021,9.00h,Duisburg Theater - großes Haus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Duisburg Theater - großes Haus, Neckarstraße 1, 47051 Duisburg"
21.12.2021,11.00h,Duisburg Theater - großes Haus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Duisburg Theater - großes Haus, Neckarstraße 1, 47051 Duisburg"
22.12.2021,9.00h,Duisburg Theater - großes Haus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Duisburg Theater - großes Haus, Neckarstraße 1, 47051 Duisburg"
22.12.2021,11.00h,Duisburg Theater - großes Haus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Duisburg Theater - großes Haus, Neckarstraße 1, 47051 Duisburg"
24.04.2022,15.00h,Sulingen Stadttheater im Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Sulingen Stadttheater im Gymnasium, Schmelingstraße, 27232 Sulingen"
29.04.2022,11.00h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
02.06.2022,9.30h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
02.06.2022,11.30h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
19.06.2022,16.00h,Cube 521 Marnach,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Cube 521 Marnach, 1-3 Driicht, 9764 Marnach"
20.06.2022,10.00h,Cube 521 Marnach,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Cube 521 Marnach, 1-3 Driicht, 9764 Marnach"
20.06.2022,14.15h,Cube 521 Marnach,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Cube 521 Marnach, 1-3 Driicht, 9764 Marnach"
21.06.2022,10.00h,Cube 521 Marnach,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Cube 521 Marnach, 1-3 Driicht, 9764 Marnach"
22.06.2022,10.00h,Cube 521 Marnach,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Cube 521 Marnach, 1-3 Driicht, 9764 Marnach"
27.08.2022,16.00h,Tönisvorst Forum Corneliusfeld,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Tönisvorst Forum Corneliusfeld, Corneliusstraße 25, 47918 Tönisvorst"
31.08.2022,16.00h,Kleve Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Kleve Stadthalle, Lohstätte, 47533 Kleve"
24.09.2022,14.00h,Salzgitter Freilichtbühne - Union-Stadion,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Salzgitter Freilichtbühne - Union-Stadion, Friedrich-Ebert-Straße 110, 38259 Salzgitter"
06.11.2022,16.00h,Nienburg Theater auf dem Hornwerk,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Nienburg Theater auf dem Hornwerk, Mühlentorsweg 2, 31582 Nienburg (Weser)"
07.11.2022,10.00h,Nienburg Theater auf dem Hornwerk,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Nienburg Theater auf dem Hornwerk, Mühlentorsweg 2, 31582 Nienburg (Weser)"
08.01.2023,15.00h,Warendorf Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Warendorf Theater, Wilhelmsplatz 9, 48231 Warendorf"
12.01.2023,9.00h,Radevormwald Bürgerhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Radevormwald Bürgerhaus, Schlossmacherstraße 4-5, 42477 Radevormwald"
13.01.2023,9.00h,Radevormwald Bürgerhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Radevormwald Bürgerhaus, Schlossmacherstraße 4-5, 42477 Radevormwald"
21.03.2023,15.00h,Nettetal Seerosensaal,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Nettetal Seerosensaal, Steegerstraße 38, 41334 Nettetal"
27.04.2023,10.00h,Borken Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Borken Stadthalle, Vennehof, 46325 Borken"
27.04.2023,16.00h,Borken Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Borken Stadthalle, Vennehof, 46325 Borken"
16.06.2023,10.00h,Badbergen Hof Sickmann-Oldenhage,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Badbergen Hof Sickmann-Oldenhage, Dammort 2, 49635 Badbergen"
18.11.2023,16.00h,Lippstadt Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Lippstadt Stadttheater, Cappeltor 3-5, 59555 Lippstadt"
10.12.2023,16.00h,Wolfenbüttel Lessingtheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wolfenbüttel Lessingtheater, Harztorwall 16, 38300 Wolfenbüttel, Niedersachs"
11.12.2023,9.00h,Wolfenbüttel Lessingtheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wolfenbüttel Lessingtheater, Harztorwall 16, 38300 Wolfenbüttel, Niedersachs"
11.12.2023,11.00h,Wolfenbüttel Lessingtheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wolfenbüttel Lessingtheater, Harztorwall 16, 38300 Wolfenbüttel, Niedersachs"
12.12.2023,9.00h,Wolfenbüttel Lessingtheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wolfenbüttel Lessingtheater, Harztorwall 16, 38300 Wolfenbüttel, Niedersachs"
13.12.2023,9.00h,Wolfenbüttel Lessingtheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wolfenbüttel Lessingtheater, Harztorwall 16, 38300 Wolfenbüttel, Niedersachs"
14.01.2024,16.00h,Solingen Theater und Konzerthaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Solingen Theater und Konzerthaus, Konrad-Adenauer-Straße 71, 42651 Solingen"
07.05.2024,16.00h,Minden Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Minden Stadttheater, Tonhallenstraße 3, 32423 Minden"
01.06.2021,9.30h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
01.06.2021,11.30h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
09.12.2021,17.00h,Kamen Konzertaula,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Kamen Konzertaula, Hammer Straße 19, 59174 Kamen"
03.02.2022,16.00h,Witten Saalbau,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Witten Saalbau, Bergerstraße 25, 58452 Witten"
22.02.2022,17.00h,Lüdenscheid Kulturhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Lüdenscheid Kulturhaus, Freiherr-vom-Stein-Str. 9, 58511 Lüdenscheid"
23.02.2022,16.00h,Lünen Heinz-Hilpert-Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Lünen Heinz-Hilpert-Theater, Kurt-Schumacher-Straße 39, 44532 Lünen"
09.09.2021,9.00h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
09.09.2021,11.30h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
17.09.2021,9.00h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
17.09.2021,11.30h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
21.09.2021,10.00h,Solingen Theater und Konzerthaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Solingen Theater und Konzerthaus, Konrad-Adenauer-Straße 71, 42651 Solingen"
20.01.2022,9.30h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
20.01.2022,11.30h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
04.03.2022,10.00h,Marl Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Marl Theater, Am Theater 1, 45768 Marl"
04.03.2022,18.30h,Marl Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Marl Theater, Am Theater 1, 45768 Marl"
25.03.2022,10.00h,Nordhorn Konzert und Theatersaal,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Nordhorn Konzert und Theatersaal, Ootmarsumer Weg 14 , 48527 Nordhorn"
12.09.2022,10.00h,Delbrück Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Delbrück Stadthalle, Boker Straße 6, 33129 Delbrück"
06.10.2022,9.00h,Sögel Aula des Hümmling Gymnasiums,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Sögel Aula des Hümmling Gymnasiums, Schlaunallee 10, 49751 Sögel"
07.10.2022,9.00h,Sögel Aula des Hümmling Gymnasiums,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Sögel Aula des Hümmling Gymnasiums, Schlaunallee 10, 49751 Sögel"
18.10.2022,16.00h,Herne Kulturzentrum,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Herne Kulturzentrum, Willi-Pohlmann-Platz 1, 44623 Herne"
20.10.2022,15.00h,Nettetal Seerosensaal,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Nettetal Seerosensaal, Steegerstraße 38, 41334 Nettetal"
25.10.2022,11.00h,Gummersbach Halle 32,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Gummersbach Halle 32, Steinmüllerallee 10, 51643 Gummersbach"
25.10.2022,16.00h,Gummersbach Halle 32,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Gummersbach Halle 32, Steinmüllerallee 10, 51643 Gummersbach"
03.11.2022,10.30h,Diepholz Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Diepholz Theater, Schlesierstraße 12, 49356 Diepholz"
03.11.2022,8.30h,Diepholz Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Diepholz Theater, Schlesierstraße 12, 49356 Diepholz"
22.11.2022,10.00h,Aschaffenburg Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Aschaffenburg Stadttheater, Schlossgasse 8, 63739 Aschaffenburg"
22.11.2022,14.30h,Aschaffenburg Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Aschaffenburg Stadttheater, Schlossgasse 8, 63739 Aschaffenburg"
23.11.2022,10.00h,Aschaffenburg Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Aschaffenburg Stadttheater, Schlossgasse 8, 63739 Aschaffenburg"
15.12.2022,17.00h,Lünen Heinz-Hilpert-Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Lünen Heinz-Hilpert-Theater, Kurt-Schumacher-Straße 39, 44532 Lünen"
10.01.2023,9.30h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
10.01.2023,11.30h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
14.03.2023,9.00h,Bad Nenndorf Kurtheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Bad Nenndorf Kurtheater, Hauptstraße 4, 31542 Bad Nenndorf"
25.04.2023,11.00h,Versmold Kulturbühne,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Versmold Kulturbühne, Schulstraße 14, 33775 Versmold"
11.05.2023,16.00h,Meinerzhagen Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Meinerzhagen Stadthalle, Otto-Fuchs-Platz 1, 58540 Meinerzhagen"
13.06.2023,10.00h,Marl Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Marl Theater, Am Theater 1, 45768 Marl"
01.11.2023,10.15h,Eschborn Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Eschborn Stadthalle, Rathausplatz 36, 65760 Eschborn"
01.11.2023,12.15h,Eschborn Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Eschborn Stadthalle, Rathausplatz 36, 65760 Eschborn"
02.11.2023,12.15h,Eschborn Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Eschborn Stadthalle, Rathausplatz 36, 65760 Eschborn"
02.11.2023,10.15h,Eschborn Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Eschborn Stadthalle, Rathausplatz 36, 65760 Eschborn"
08.02.2024,11.30h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
13.03.2024,17.30h,Minden Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Minden Stadttheater, Tonhallenstraße 3, 32423 Minden"
14.11.2024,9.00h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
14.11.2024,11.30h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
15.11.2024,9.00h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
16.01.2025,19.30h,Rheine Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Rheine Stadthalle, Humboldplatz 10, 48429 Rheine"
02.11.2021,13.30h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
03.11.2021,9.00h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
03.11.2021,11.30h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
16.11.2021,19.00h,Lünen Heinz-Hilpert-Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Lünen Heinz-Hilpert-Theater, Kurt-Schumacher-Straße 39, 44532 Lünen"
13.01.2022,13.30h,Castrop-Rauxel Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Stadthalle, Europaplatz, 44575 Castrop-Rauxel"
